sites,study_id,year,indepedence_weight,reference,doi_link,google_drive_link,data_quality,data_quality_explanation,data_stripped,sum_total_richness,sum_total_abundance,spatial_rank,temporal_resolution_rank,temporal_bredth_rank,biodiversity_metrics,method,taxa,continent,country,treatment,season,forest_type,elevation,canopy_height,latitude,longitude,study_start_date,study_end_date,driver_of_stratification,other_data_of_interest,additional_notes
1,Heymann_2002,2002,1,"Heymann, E. W. (2002). Primates of the Rio Curaray, northern peruvian Amazon. International Journal of Primatology, 23(1), 191-201.",NA,https://drive.google.com/file/d/1etEbhy83EK-qng2Ga5Y0ylJ1ZJWPHfPe/view?usp=sharing,2,2- needs calculating using interval code,Yes,11,109,4,3,1,Richness and abundance - continuous,Human observation,Primates,Americas,Peru,Unlogged,Unknown,Lowland rainforest,100,24,-2.220302,-74.518586,1999-09-17,1999-10-05,NA,NA,NA
1,Karr_1976,1976,1,"Karr, J. R. (1976). Within‐and between‐habitat avian diversity in African and Neotropical lowland habitats. Ecological Monographs, 46(4), 457-481.",NA,https://drive.google.com/file/d/1EJ4oqu-tmBcMayozLxKIpX_NoKYSJpyw/view?usp=sharing,1,1,Yes,49,NA,2,2,3,Richness - 4 categories of height,Human observation,Birds,Africa,Liberia,Old regrowth,Unknown,Lowland rainforest,475,30,7.484444,-8.570278,1971-08-01,1971-10-15,NA,NA,NA
1,Gonzalez_2020,2020,1,"Gonzalez, J. C. T., de Guia, A. P. O., Dimalibot, J. C., Pantua, K. V., Gustilo, W. O., & Bantayan, N. C. (2020). Understorey to canopy vertebrate fauna of a lowland evergreen forest in Mt. Makiling Forest Reserve, Philippines. Biodiversity Data Journal, 8.",https://doi.org/10.3897/BDJ.8.e56999,https://drive.google.com/file/d/1i0EX9H7lwyS_4-nr9qxePzU-UUL0eHyD/view?usp=sharing,1,1,Yes,25,NA,2,1,1,Richness - 3 categories of height,Human observation,Amphibians,Asia and Oceania,Philippines,Old regrowth,Sampling combined across the year,Lowland evergreen rainforest,350,20,14.137222,121.1925,2016--06-01,2018-03-15,NA,NA,They sampled the different strata in different years and in different months.. not exactly good practice
2,Gonzalez_2020,2020,1,"Gonzalez, J. C. T., de Guia, A. P. O., Dimalibot, J. C., Pantua, K. V., Gustilo, W. O., & Bantayan, N. C. (2020). Understorey to canopy vertebrate fauna of a lowland evergreen forest in Mt. Makiling Forest Reserve, Philippines. Biodiversity Data Journal, 8.",https://doi.org/10.3897/BDJ.8.e56999,https://drive.google.com/file/d/1i0EX9H7lwyS_4-nr9qxePzU-UUL0eHyD/view?usp=sharing,1,1,Yes,11,NA,2,1,1,Richness - 3 categories of height,Human observation,Reptiles,Asia and Oceania,Philippines,Old regrowth,Sampling combined across the year,Lowland evergreen rainforest,350,20,14.137222,121.1925,2016--06-01,2018-03-15,NA,NA,NA
1,Zubaid_1994,1994,1,"Zubaid, A. (1994). Vertical stratification of pteropodid bats in a Malaysian lowland rainforest. Mammalia (Paris), 58(2), 309-311.",NA,https://drive.google.com/file/d/1s7k-d5Ijw2vbF1knJCi5T7vkLS57t8mm/view?usp=sharing,1,1,Yes,6,90,2,2,2,Abundance,Mist nets,Bats,Asia and Oceania,Malaysia,Old regrowth,Unknown,Lowland dipterocarp rainforest,100,20,2.916667,101.75,1993-04-01,1993-06-15,NA,NA,NA
1,Ingle_1993,1993,1,"Ingle, N. R. (1993). Vertical stratification of bats in a Philippine rainforest. Asian International Journal of Life Sciences.",NA,https://drive.google.com/file/d/1xe0K5fxPlzDsxymuAJgxeWaHYcntxLDL/view?usp=sharing,1,1,Yes,19,1325,2,3,3,Abundance,Mist nets,Bats,Asia and Oceania,Philippines,Old regrowth,Sampling combined across the year,Lowland dipterocarp rainforest,350,25,14.15,121.216667,1989-01-01,1989-08-15,NA,NA,NA
1,Terborgh_1974,1974,1,"Terborgh, J., & Janson, C. H. (1974). Ecology of primates in southeastern Peru. Nat Geogr Soc Res Rep, 15, 655-662.",NA,https://babel.hathitrust.org/cgi/pt?id=mdp.39015025032494&view=1up&seq=675,1,1,Yes,12,NA,2,2,4,Richness,Human observation,Primates,Americas,Peru,Unlogged,Sampling combined across the year,Lowland rainforest,300,40,-11.889341,-71.41061,1973,1973,NA,NA,NA
1,Gokula_2007,2007,1,"Gokula, V., & Vijayan, L. (2007). Foraging strategies of birds in partitioning of food resources in dry deciduous forest of Mudumalai Wildlife Sanctuary, Tamil Nadu, India. Journal of Scientific Transaction in Environment and Technovation, 1(1), 36-42.",NA,https://drive.google.com/file/d/1vBws9vgI-xZEAX0X3OAI5aS-TLJKYNz-/view,2,2- needs taking from a table,Yes,30,1176,2,1,1,"Richness, abundance - 13 categories of height",Human observation,Birds,Asia and Oceania,India,Unlogged,Dry season,Dry deciduous Forest,1000,11,11.583333,76.583333,2006,2006,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,APA style,NA,NA,1 to 3,"explanation why the study was ranked, if needed",yes or no,"how many species were observed in the study, at ALL strata combined","how many organisms were observed in the study, at ALL strata combined",NA,NA,NA,NA,how was abundance/richness measured in the field?,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,start date of the study's data collection,end date of the study's data collection,NA,NA,NA
