sites,study_id,year,reference,doi_link,spatial_rank,temporal_resolution_rank,temporal_bredth_rank,biodiversity_metrics,method,taxa,continent,country,treatment,season,forest_type,forest_type_iucn_new,elevation,canopy_height,latitude,longitude,study_start_date,study_end_date,link
1,McClearn_1994,1994,"McClearn, D., Kohler, J., McGowan, K. J., Cedeno, E., Carbone, L. G., & Miller, D. (1994). Arboreal and terrestrial mammal trapping on Gigante Peninsula, Barro Colorado nature monument, Panama. Biotropica, 26(2), 208-213.",NA,3,4,4,"Richness, abundance - 3 categories of height",Traps,Small mammals,Americas,Panama,Old regrowth,Dry,Lowland rainforest,moist_lowland_forest,50,25,9.114715,-79.84212,1/12/1991,2/27/1991,McClearn_1994 _ 1
2,Orians_1969,1969,"Orians, G. H. (1969). The number of bird species in some tropical forests. Ecology, 50(5), 783-801.",NA,2,3,2,Richness - 5 categories of height,Human observation,Birds,Americas,Costa Rica,Unlogged,Dry,Lowland rainforest,moist_lowland_forest,100,40,9.958051,-85.336822,3/1/1968,6/1/1968,Orians_1969 _ 2
1,Orians_1969,1969,"Orians, G. H. (1969). The number of bird species in some tropical forests. Ecology, 50(5), 783-801.",NA,2,3,2,Richness - 5 categories of height,Human observation,Birds,Americas,Costa Rica,Unlogged,Wet,Lowland rainforest,moist_lowland_forest,100,35,10.423657,-84.01766,3/1/1968,6/1/1968,Orians_1969 _ 1
4,Orians_1969,1969,"Orians, G. H. (1969). The number of bird species in some tropical forests. Ecology, 50(5), 783-801.",NA,2,3,2,Richness - 5 categories of height,Human observation,Birds,Americas,Costa Rica,Unlogged,Wet,Tropical moist forest,moist_lowland_forest,100,35,9.99928,-84.800297,3/1/1968,6/1/1968,Orians_1969 _ 4
5,Orians_1969,1969,"Orians, G. H. (1969). The number of bird species in some tropical forests. Ecology, 50(5), 783-801.",NA,2,3,2,Richness - 5 categories of height,Human observation,Birds,Americas,Costa Rica,Unlogged,Wet,Tropical dry forest,dry_forest,100,30,10.687892,-85.508578,3/1/1968,6/1/1968,Orians_1969 _ 5
7,Orians_1969,1969,"Orians, G. H. (1969). The number of bird species in some tropical forests. Ecology, 50(5), 783-801.",NA,2,3,2,Richness - 5 categories of height,Human observation,Birds,Americas,Costa Rica,Unlogged,Wet,Montane rainforest,moist_montane_forest,2380,26,9.59579,-83.682297,3/1/1968,6/1/1968,Orians_1969 _ 7
3,Orians_1969,1969,"Orians, G. H. (1969). The number of bird species in some tropical forests. Ecology, 50(5), 783-801.",NA,2,3,2,Richness - 5 categories of height,Human observation,Birds,Americas,Costa Rica,Unlogged,Wet,Lowland rainforest,moist_lowland_forest,100,25,10.127897,-85.275736,3/1/1968,6/1/1968,Orians_1969 _ 3
6,Orians_1969,1969,"Orians, G. H. (1969). The number of bird species in some tropical forests. Ecology, 50(5), 783-801.",NA,2,3,2,Richness - 5 categories of height,Human observation,Birds,Americas,Costa Rica,Unlogged,Wet,Montane rainforest,moist_montane_forest,1950,20,10.145548,-84.091737,3/1/1968,6/1/1968,Orians_1969 _ 6
1,Pearson_1971,1971,"Pearson, D. L. (1971). Vertical stratification of birds in a tropical dry forest. The Condor, 73(1), 46-55.",NA,2,3,2,"Abundance (continuous density plot), Richness - 5 categories of height",Human observation,Birds,Americas,Peru,Unlogged,Dry,Tropical dry forest,dry_forest,175,40,-8.607881,-74.581123,6/12/1968,8/22/1968,Pearson_1971 _ 1
4,Pearson_1977,1977,"Pearson, D. L. (1977). A pantropical comparison of bird community structure on six lowland forest sites. The Condor, 79(2), 232-244.",NA,2,3,3,Abundance - 7 categories of height,Human observation,Birds,Asia and Oceania,Indonesia,Unlogged,Dry,Lowland rainforest,moist_lowland_forest,40,50,0.4,117.266667,7/25/1974,9/4/1974,Pearson_1977 _ 4
